client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,Age,property_count,total_investment,average_property_price,average_floor_area,Cluster
C0020,Individual,Camille,Sharp,,F,USA,California,Home,5,No,Website,,4,1508032.25,377008.0625,1307.08,2
C0021,Individual,Jesus,Obrien,1938-06-09,M,USA,Oregon,Investment,3,No,Website,88.0,6,1928172.72,321362.12,1028.86,1
C0022,Individual,Araceli,Nelson,,M,Germany,Berlin,Investment,5,No,Agency,,4,1372403.2,343100.8,1247.4850000000001,1
C0023,Individual,Cole,Taylor,1958-12-06,M,USA,California,Home,3,Yes,Website,68.0,5,1457871.69,291574.338,948.3880000000001,0
C0024,Individual,Alonso,Terrell,1963-11-05,M,USA,California,Investment,4,No,Website,63.0,6,1884156.9000000001,314026.15,1053.735,1
C0025,Individual,Rodolfo,Gibson,,M,USA,Nevada,Home,2,Yes,Website,,5,1694448.83,338889.766,1120.576,2
C0026,Individual,Joseph,Reeves,,M,USA,California,Investment,5,No,Website,,10,2932241.75,293224.175,1002.383,2
C0027,Individual,Grant,Weber,1968-09-08,M,USA,California,Home,5,Yes,Website,58.0,5,1517969.44,303593.888,1070.234,0
C0028,Individual,Ava,Phelps,,F,USA,California,Home,3,No,Client,,5,1791082.79,358216.558,1266.366,2
C0029,Individual,Kyla,Walker,,F,USA,Colorado,Home,4,Yes,Agency,,4,1247795.31,311948.8275,993.05,0
C0030,Individual,Alanna,Hess,,F,USA,Nevada,Home,3,No,Website,,4,1547311.29,386827.8225,1279.3725,2
C0031,Individual,Skylar,Buchanan,,M,USA,Nevada,Home,4,Yes,Website,,5,1077148.21,215429.642,677.3399999999999,0
C0032,Individual,Rodrigo,Robinson,1966-08-11,M,USA,California,Home,4,No,Website,60.0,5,1888995.1600000001,377799.032,1282.528,2
C0033,Individual,Lydia,Tate,,F,USA,California,Home,3,Yes,Website,,4,1404998.67,351249.6675,1250.4325,2
C0034,Individual,Lauryn,Patrick,,F,Belgium,Brussels,Home,2,No,Agency,,5,1632608.66,326521.73199999996,1160.556,2
C0035,Individual,Diego,Mendez,1965-05-12,M,Mexico,Mexico City,Home,3,No,Agency,61.0,5,1987876.4,397575.27999999997,1445.752,2
C0036,Individual,Victor,Jensen,1973-09-01,M,USA,California,Home,4,No,Website,53.0,4,1173683.53,293420.8825,963.325,0
C0037,Individual,Scarlet,Hendricks,,F,USA,California,Home,5,Yes,Website,,5,1607228.75,321445.75,1018.368,0
C0038,Individual,Janelle,Espinoza,,F,USA,California,Investment,4,No,Client,,4,1175129.27,293782.3175,1105.1225,1
C0039,Individual,Aleksandra,Karenina,,F,Russia,Krasnodar Krai,Home,1,No,Agency,,4,1858527.54,464631.885,1365.68,2
C0040,Individual,Conner,Huff,,M,USA,Nevada,Home,5,No,Website,,6,1854608.29,309101.38166666665,1047.8,2
C0041,Individual,Zain,Horne,,M,USA,Arizona,Home,1,Yes,Website,,5,1374460.79,274892.158,872.838,0
C0042,Individual,Maia,Chandler,1975-08-12,F,USA,Utah,Home,1,Yes,Website,51.0,4,1101390.25,275347.5625,913.8425,0
C0043,Individual,Jordyn,Park,1965-04-04,M,USA,Nevada,Investment,3,Yes,Website,61.0,4,1126492.46,281623.115,983.505,1
C0044,Individual,Diana,Hunt,,F,USA,Arizona,Home,3,No,Website,,4,1330493.26,332623.315,1106.8675,0
C0045,Individual,Kevin,Mata,1968-10-12,M,USA,Colorado,Investment,2,No,Agency,58.0,5,1463432.3599999999,292686.47199999995,913.774,1
C0046,Individual,Brisa,Mckee,,F,USA,California,Home,5,No,Client,,8,2026517.4,253314.675,857.8050000000001,0
C0047,Individual,Mason,Gilbert,,M,USA,Colorado,Home,2,No,Agency,,5,1438239.28,287647.856,953.568,0
C0048,Individual,Derick,Li,,M,USA,California,Home,3,Yes,Agency,,4,1338718.0,334679.5,1026.3200000000002,0
C0049,Individual,Jace,Riggs,,F,USA,California,Home,1,No,Website,,4,1390091.2,347522.8,1204.3675,0
C0050,Individual,Jair,Johns,1940-03-05,M,USA,California,Home,5,No,Website,86.0,9,2744452.35,304939.15,993.5088888888889,2
C0051,Individual,Matilda,Madden,1941-03-03,F,USA,Colorado,Home,3,No,Agency,85.0,4,1270440.42,317610.105,1039.56,0
C0052,Individual,Myla,Ewing,1967-02-03,F,USA,Oregon,Investment,2,No,Client,59.0,4,1474211.53,368552.8825,1187.925,1
C0053,Individual,Miguel,Walter,1954-01-07,M,USA,Arizona,Home,4,No,Agency,72.0,4,1120539.44,280134.86,929.245,0
C0054,Corporate,Bridger CAL,Co,,M,USA,Nevada,Investment,5,No,Website,,6,2109277.6,351546.26666666666,1115.6333333333334,3
C0055,Individual,Mara,Franco,1973-06-07,F,USA,California,Home,5,Yes,Agency,53.0,4,1178979.21,294744.8025,989.8299999999999,0
C0056,Individual,Erik,Mora,1964-12-07,M,USA,Oregon,Investment,5,No,Agency,62.0,4,1579301.3599999999,394825.33999999997,1355.5975,2
C0057,Individual,Henry,Kennedy,1933-06-08,M,USA,California,Home,4,Yes,Agency,93.0,5,2020519.52,404103.904,1344.1439999999998,2
C0058,Corporate,Kenyon,Co,1969-05-03,F,USA,California,Investment,1,Yes,Website,57.0,5,1441406.17,288281.234,919.8399999999999,3
C0059,Individual,Oswaldo,Palmer,,M,USA,California,Home,2,No,Website,,4,1278854.25,319713.5625,1102.44,0
C0060,Individual,Kassidy,Vega,1972-05-07,F,USA,California,Home,5,No,Website,54.0,4,1355662.25,338915.5625,1119.4675,0
C0061,Individual,Morgan,Glass,1967-05-12,M,USA,Utah,Home,5,No,Agency,59.0,4,1306907.58,326726.895,1101.62,0
C0062,Individual,Tyler,Carr,,M,USA,California,Home,5,Yes,Client,,5,1489333.49,297866.698,1059.8319999999999,0
C0063,Individual,Yesenia,Marquez,,F,USA,Arizona,Home,4,No,Website,,5,1625480.88,325096.176,1112.538,2
C0064,Individual,Gordon,Brown,1974-02-10,M,UK,Northern Ireland,Investment,4,No,Agency,52.0,4,1448881.28,362220.32,1095.85,1
C0065,Individual,Rodrigo,Ramirez,,M,USA,California,Home,1,No,Agency,,4,1557125.73,389281.4325,1261.5275,2
C0066,Individual,Melanie,Holland,,F,USA,California,Investment,3,No,Client,,4,1107164.17,276791.0425,932.7550000000001,1
C0067,Individual,Enrique,Cardenas,1977-06-10,M,USA,California,Home,2,No,Website,49.0,5,1431941.84,286388.368,851.818,0
C0068,Individual,Helen,Williamson,,F,USA,Colorado,Home,5,Yes,Agency,,4,1572779.33,393194.8325,1450.2925,2
C0069,Individual,Isis,Rios,1970-04-01,M,USA,California,Investment,4,No,Website,56.0,5,1439142.47,287828.494,957.588,1
C0070,Individual,Kayley,Nielsen,,F,USA,Arizona,Home,4,Yes,Website,,5,1521570.62,304314.124,1039.274,0
C0071,Individual,Donavan,Flowers,,M,USA,California,Home,1,Yes,Client,,5,1150384.09,230076.81800000003,833.3799999999999,0
C0072,Individual,Augustus,Hinton,1953-02-03,M,USA,Nevada,Investment,2,No,Website,73.0,6,2246488.58,374414.76333333337,1129.4916666666666,2
C0073,Individual,Alejandra,Greer,1965-01-11,F,Denmark,Capital Region,Investment,1,No,Agency,61.0,4,1413902.33,353475.5825,1194.0325,1
C0074,Individual,Violet,Nixon,1959-01-01,F,USA,Oregon,Investment,5,No,Client,67.0,5,1709458.65,341891.73,1138.044,1
C0075,Individual,Jaelyn,Berger,1970-05-05,F,USA,California,Home,3,No,Website,56.0,4,1269395.74,317348.935,1048.3425,0
C0076,Individual,Tristian,Fuller,,M,USA,California,Home,5,No,Agency,,6,1905852.0899999999,317642.01499999996,1067.28,2
C0077,Individual,Christian,Costa,,M,USA,California,Home,5,No,Website,,5,1880012.18,376002.436,1191.826,2
C0078,Individual,Nora,Lynch,,F,USA,California,Home,5,No,Website,,4,1685882.3900000001,421470.59750000003,1415.63,2
C0079,Individual,Dangelo,Shea,,M,Belgium,Brussels,Investment,4,No,Website,,4,1456436.3,364109.075,1219.0675,1
C0080,Individual,Aiyana,Christensen,,F,USA,California,Investment,3,No,Website,,5,1427531.56,285506.31200000003,965.024,1
C0081,Individual,Sidney,Cline,,F,USA,California,Home,4,Yes,Website,,4,1522144.26,380536.065,1252.745,2
C0082,Individual,Kaitlin,Owen,,F,USA,Virginia,Investment,5,No,Client,,5,1282267.95,256453.59,884.2239999999999,1
C0083,Individual,Issac,Edwards,,M,USA,California,Home,5,No,Website,,6,1513641.46,252273.57666666666,851.395,0
C0084,Individual,Zaiden,Merritt,,M,USA,Wyoming,Home,3,No,Agency,,5,1762231.92,352446.38399999996,1083.6119999999999,2
C0085,Individual,Iris,Larsen,,M,USA,California,Home,4,Yes,Agency,,4,1185505.46,296376.365,986.395,0
C0086,Individual,Grace,Stein,,F,USA,California,Home,3,Yes,Website,,5,1928188.6099999999,385637.72199999995,1354.634,2
C0087,Individual,Alessandra,Perry,,F,USA,California,Home,4,No,Agency,,4,1681153.28,420288.32,1287.6625,2
C0088,Individual,Jamal,Mueller,,M,USA,Oregon,Investment,2,No,Website,,6,1450519.57,241753.2616666667,786.9733333333334,1
C0089,Individual,Irvin,Ellis,,M,USA,California,Home,3,No,Agency,,4,1041853.81,260463.4525,854.79,0
C0090,Individual,Terry,Forbes,,M,USA,California,Home,5,No,Client,,5,980850.4199999999,196170.08399999997,703.798,0
C0091,Individual,Jacqueline,Grant,,F,USA,California,Home,4,No,Website,,4,1356644.74,339161.185,1161.6775,0
C0092,Individual,Brock,Fischer,,M,USA,Kansas,Home,3,No,Website,,8,2817926.96,352240.87,1218.0425,2
C0093,Individual,Curtis,Howard,1962-09-11,M,USA,California,Home,2,No,Agency,64.0,5,1732558.38,346511.676,1196.466,2
C0094,Individual,Avah,Huang,,F,USA,California,Home,5,No,Website,,5,1062675.82,212535.16400000002,692.664,0
C0095,Individual,Frank,Meyer,,M,USA,California,Home,3,Yes,Agency,,6,1668973.02,278162.17,923.105,0
C0096,Individual,Darien,Dorsey,,M,USA,California,Investment,3,Yes,Website,,4,1363013.17,340753.2925,1113.615,1
C0097,Individual,Franklin,Mack,,M,USA,Virginia,Home,5,Yes,Website,,7,2189906.04,312843.72000000003,1061.722857142857,2
C0098,Individual,Elena,Petrova,,F,Russia,Saint Petersburg,Home,3,Yes,Agency,,4,1131592.65,282898.1625,981.955,0
C0099,Individual,Jack,Hanson,1941-12-01,M,USA,California,Investment,4,No,Website,85.0,6,2000308.58,333384.76333333337,1201.5883333333334,2
C0100,Individual,Emmett,Estes,1969-06-05,M,USA,California,Home,3,No,Website,57.0,4,1449544.65,362386.1625,1174.44,2
C0101,Individual,Aniya,Miller,1951-03-02,F,USA,Nevada,Home,3,No,Website,75.0,4,1125013.8,281253.45,874.345,0
C0102,Individual,Jack,Anderson,,M,USA,California,Investment,5,Yes,Website,,9,3403263.85,378140.4277777778,1222.908888888889,2
C0103,Individual,Kael,Hurley,,M,USA,Colorado,Home,3,No,Website,,5,1483838.77,296767.754,964.9799999999999,0
C0104,Individual,Kamden,Stewart,,M,USA,California,Home,5,No,Website,,5,1677155.01,335431.002,1090.3,2
C0105,Individual,Aniyah,Ali,1959-11-03,F,USA,California,Investment,2,Yes,Website,67.0,5,1328084.36,265616.87200000003,850.948,1
C0106,Individual,Simon,Bennett,1953-06-09,M,USA,Colorado,Home,4,No,Website,73.0,4,957679.27,239419.8175,820.9825000000001,0
C0107,Individual,Laurel,Benitez,1959-08-06,M,USA,California,Home,4,Yes,Agency,67.0,5,1715058.23,343011.646,1102.66,2
C0108,Individual,Trey,Strong,,M,USA,California,Home,4,No,Agency,,6,1998798.72,333133.12,1104.1699999999998,2
C0109,Individual,Myah,Roman,1933-05-05,F,USA,California,Investment,5,Yes,Agency,93.0,5,1995551.0899999999,399110.218,1285.854,2
C0110,Individual,Nyla,Blake,1959-06-05,F,USA,California,Investment,5,Yes,Agency,67.0,5,1205555.46,241111.092,811.4019999999999,1
C0111,Individual,Kole,Shannon,,M,USA,Arizona,Home,2,Yes,Website,,4,1198421.22,299605.305,896.7175,0
C0112,Individual,Melany,Glover,1960-10-01,F,USA,California,Investment,1,Yes,Agency,66.0,5,1775142.2,355028.44,1115.986,1
C0113,Individual,Arthur,Bray,,M,USA,Utah,Investment,4,No,Agency,,4,1414433.46,353608.365,1186.715,1
C0114,Individual,Kamila,Collier,,F,USA,California,Home,1,Yes,Website,,4,1124004.05,281001.0125,932.9449999999999,0
C0115,Individual,Amanda,Simon,1978-12-03,F,USA,California,Home,5,No,Agency,48.0,5,1757354.59,351470.918,1143.692,2
C0116,Individual,Erika,Steward,1955-08-07,F,USA,California,Investment,4,No,Website,71.0,8,2484590.08,310573.76,1039.8925,2
C0117,Individual,Jakobe,Bailey,1964-10-06,M,UK,Scotland,Investment,4,No,Agency,62.0,8,2884556.25,360569.53125,1135.78625,2
C0118,Individual,Sonia,Choi,1948-11-09,F,USA,Oregon,Investment,5,No,Agency,78.0,4,1218377.19,304594.2975,1009.1225,1
C0119,Individual,Erika,Gallagher,,F,USA,California,Home,1,Yes,Website,,4,1603043.92,400760.98,1399.315,2
C0120,Individual,Madeline,Michael,,F,USA,California,Home,4,Yes,Website,,5,1753587.39,350717.478,1243.96,2
C0121,Individual,Bennett,Chen,,M,USA,Nevada,Home,2,No,Website,,5,1169150.31,233830.062,806.688,0
C0122,Individual,Belinda,Hogan,,F,USA,California,Home,1,Yes,Agency,,4,1412560.68,353140.17,1085.975,0
C0123,Individual,Johanna,Fisher,,F,USA,California,Home,4,Yes,Website,,5,1821348.69,364269.738,1230.6599999999999,2
C0124,Individual,Jaylen,Turner,,F,USA,California,Home,4,No,Agency,,5,1613985.08,322797.016,1184.6299999999999,2
C0125,Individual,Michael,Juarez,,M,USA,Colorado,Home,4,Yes,Agency,,4,1341108.25,335277.0625,1148.5475,0
C0126,Individual,Adriana,Shaffer,1972-07-11,F,USA,California,Investment,2,No,Agency,54.0,5,1319929.46,263985.892,850.052,1
C0127,Individual,Julio,Leonard,,M,USA,Nevada,Home,2,Yes,Website,,4,967474.23,241868.5575,765.085,0
C0128,Corporate,Abdiel,Co,,M,USA,Nevada,Investment,5,Yes,Website,,5,1639392.9500000002,327878.59,1054.034,3
C0129,Individual,Warren,Pugh,,M,USA,Arizona,Investment,5,No,Website,,4,1748372.75,437093.1875,1296.9850000000001,2
C0130,Individual,Luis,Crane,,M,USA,Nevada,Home,3,Yes,Website,,4,1488042.88,372010.72,1215.035,2
C0131,Individual,Mohammad,Irwin,1971-12-02,M,USA,California,Home,1,No,Website,55.0,5,1428058.5499999998,285611.70999999996,928.7940000000001,0
C0132,Individual,Davion,Stout,,M,USA,Nevada,Home,1,Yes,Agency,,4,1203775.04,300943.76,1025.1775,0
C0133,Individual,Logan,Simmons,,M,USA,California,Investment,4,No,Agency,,4,1449799.93,362449.9825,1177.4025000000001,1
C0134,Individual,Kaylin,Villarreal,,F,Russia,Novosibirsk,Investment,3,No,Website,,5,1761669.8699999999,352333.974,1095.602,1
C0135,Individual,Ruben,Melton,1939-03-05,M,USA,Utah,Investment,2,No,Agency,87.0,4,1221442.92,305360.73,1043.6100000000001,1
C0136,Individual,Gianni,Fritz,,M,USA,California,Home,3,No,Website,,5,1892554.72,378510.944,1244.274,2
C0137,Individual,Emilie,Morrison,,F,USA,California,Home,3,Yes,Website,,4,989750.45,247437.6125,855.0699999999999,0
C0138,Individual,Crystal,Wyatt,,F,USA,Oregon,Investment,3,Yes,Website,,5,1367824.55,273564.91000000003,914.412,1
C0139,Individual,Annabel,Robles,,F,USA,California,Home,5,Yes,Website,,5,1807366.3,361473.26,1136.694,2
C0140,Individual,Rachel,Cross,,F,USA,California,Home,3,No,Website,,5,1559561.53,311912.306,1041.7220000000002,0
C0141,Individual,Madalyn,Mercer,,F,USA,California,Home,5,No,Website,,5,1765019.09,353003.818,1088.806,2
C0142,Individual,Michelle,Cameron,1978-06-04,F,USA,Nevada,Home,3,Yes,Website,48.0,5,1673770.19,334754.038,1149.396,2
C0143,Individual,Ezra,Lozano,,M,USA,California,Home,1,No,Website,,8,2389960.3,298745.0375,1008.6325,2
C0144,Individual,Ramiro,Oneill,,M,USA,California,Home,4,No,Agency,,5,1897739.74,379547.948,1206.354,2
C0145,Individual,Emely,Watts,,F,USA,California,Home,4,No,Website,,5,1746571.55,349314.31,1297.3200000000002,2
C0146,Individual,Hazel,Ayers,1963-02-01,M,USA,Colorado,Home,2,No,Website,63.0,4,1481536.3900000001,370384.09750000003,1242.6425,2
C0147,Individual,Cedric,Goodwin,,M,USA,Utah,Home,4,No,Client,,5,1398309.27,279661.854,1000.47,0
C0148,Individual,Dayton,Hatfield,,M,USA,Colorado,Investment,4,Yes,Agency,,4,1700383.7,425095.925,1413.5925,2
C0149,Individual,Piotr,Aleksandrov,1955-12-02,M,Russia,Krasnodar Krai,Investment,3,No,Agency,71.0,4,1049009.0,262252.25,906.4850000000001,1
C0150,Individual,Memphis,Mcconnell,,M,USA,California,Home,2,Yes,Website,,4,1846066.58,461516.645,1500.95,2
C0151,Individual,Arabella,Ferrell,,F,USA,Oregon,Home,1,No,Agency,,5,1589086.32,317817.264,1123.442,0
C0152,Individual,Sincere,Hansen,,F,USA,California,Investment,2,Yes,Agency,,7,2539205.93,362743.7042857143,1212.7585714285713,2
C0153,Individual,Lara,Carrillo,,F,USA,California,Home,5,No,Website,,5,1560375.26,312075.052,944.0319999999999,0
C0154,Individual,Valentina,Simpson,,F,USA,California,Home,4,Yes,Agency,,5,2142457.31,428491.462,1390.49,2
C0155,Corporate,Kamd,Co,,M,USA,California,Investment,5,No,Agency,,5,1622885.53,324577.106,1097.394,3
C0156,Individual,Case,Sanchez,,F,USA,California,Home,5,No,Website,,4,1344903.47,336225.8675,1102.105,0
C0157,Individual,Van,Charles,,M,USA,Colorado,Home,2,Yes,Client,,4,1060400.03,265100.0075,830.7675,0
C0158,Individual,Emmy,Singh,1979-12-03,F,USA,Virginia,Investment,3,Yes,Agency,47.0,4,1439477.66,359869.415,1131.4975,1
C0159,Individual,Colin,Campos,,M,USA,California,Home,3,No,Website,,4,1596507.45,399126.8625,1336.7325,2
C0160,Individual,Anya,Stephenson,1959-06-11,F,USA,California,Home,4,No,Website,67.0,5,1679716.96,335943.392,1144.06,2
C0161,Individual,Parker,Poole,1951-11-10,M,USA,California,Home,5,No,Website,75.0,9,2534264.26,281584.91777777777,939.4144444444444,2
C0162,Individual,Ivan,Bright,,M,USA,California,Home,4,No,Website,,4,1135363.52,283840.88,983.24,0
C0163,Individual,Larry,Turner,,M,USA,Utah,Investment,5,Yes,Agency,,4,1506594.21,376648.5525,1307.32,2
C0164,Individual,Matthew,Nelson,,M,USA,Arizona,Home,5,No,Website,,4,1436152.54,359038.135,1196.7975,2
C0165,Individual,Mary,Hall,1956-07-11,F,USA,California,Home,3,Yes,Website,70.0,3,1276849.33,425616.44333333336,1357.1933333333334,2
C0166,Individual,Carolyn,Weaver,,F,USA,Arizona,Home,4,Yes,Agency,,4,1273643.37,318410.8425,1025.3225,0
C0167,Individual,Grace,Green,1955-02-02,F,UK,Scotland,Home,3,Yes,Website,71.0,7,2749577.33,392796.7614285714,1320.3814285714286,2
C0168,Individual,Pamela,Sanders,1960-06-06,F,USA,Nevada,Home,3,No,Agency,66.0,4,1491785.87,372946.4675,1329.6025,2
C0169,Individual,Terry,Turner,,M,USA,Ohio,Investment,5,Yes,Agency,,3,688864.2,229621.4,845.8633333333333,1
C0170,Individual,Jacob,Jones,,M,USA,California,Home,5,No,Website,,3,1161316.17,387105.38999999996,1339.7466666666667,2
C0171,Individual,Julie,Sanders,1991-05-05,F,USA,Washington,Investment,5,Yes,Client,35.0,4,1278753.71,319688.4275,1070.72,1
C0172,Individual,Catherine,Carter,,F,USA,Washington,Home,1,Yes,Agency,,4,1681471.9100000001,420367.97750000004,1572.79,2
C0173,Individual,Amber,Wilson,,F,USA,Arizona,Home,5,Yes,Agency,,8,2619968.43,327496.05375,1074.5925,2
C0174,Individual,Rachel,Harris,1982-07-06,F,USA,California,Investment,3,No,Client,44.0,3,865359.73,288453.24333333335,869.7866666666667,1
C0175,Individual,Brandon,Alexander,1962-04-05,M,USA,Washington,Home,5,No,Agency,64.0,4,1606138.1199999999,401534.52999999997,1313.38,2
C0176,Individual,Hannah,Williams,,F,USA,California,Home,2,No,Website,,6,2681927.91,446987.98500000004,1514.8,2
C0177,Individual,Sarah,Hansen,1951-03-05,F,UK,England,Home,5,Yes,Website,75.0,7,2269897.21,324271.02999999997,1160.9514285714286,2
C0178,Individual,Laura,Chavez,,F,USA,Virginia,Home,4,No,Agency,,7,2665917.96,380845.42285714287,1284.9985714285715,2
C0179,Individual,Ashley,Turner,1986-02-11,F,USA,Oregon,Investment,2,No,Website,40.0,8,2131372.11,266421.51375,947.5450000000001,1
C0180,Individual,Jacob,Wilson,,M,USA,California,Home,2,Yes,Agency,,7,2660292.37,380041.76714285713,1249.51,2
C0181,Individual,Lawrence,Peterson,,M,USA,Texas,Home,2,Yes,Website,,7,2047189.62,292455.66000000003,974.1771428571428,2
C0182,Individual,Virginia,Bennett,1971-12-02,F,Germany,North Rhine-Westphalia,Investment,1,Yes,Website,55.0,8,3082362.35,385295.29375,1246.94625,2
C0183,Individual,Nicholas,Green,,M,USA,Nevada,Home,3,No,Website,,7,1883106.92,269015.27428571426,907.1042857142857,0
C0184,Individual,Peter,Pierce,,M,USA,Florida,Home,1,No,Website,,6,2618938.16,436489.69333333336,1481.7150000000001,2
C0185,Individual,Andrea,Nelson,1945-07-02,F,USA,Nevada,Home,4,Yes,Agency,81.0,7,2491911.81,355987.40142857144,1137.2942857142857,2
C0186,Individual,Carol,Green,1982-04-02,F,USA,Virginia,Home,1,No,Website,44.0,8,2674286.63,334285.82875,1100.27125,2
C0187,Individual,Cheryl,Kim,,F,USA,Florida,Home,1,No,Website,,6,2066651.1400000001,344441.8566666667,1135.37,2
C0188,Individual,Jose,Martin,1940-10-08,M,USA,Oregon,Home,5,Yes,Website,86.0,7,2891447.6,413063.9428571429,1263.962857142857,2
C0189,Individual,Anna,Adams,1958-12-11,F,USA,California,Home,2,No,Agency,68.0,7,2209659.42,315665.6314285714,1024.6857142857143,2
C0190,Individual,Karen,Johnson,,F,USA,California,Home,2,No,Website,,7,2276701.17,325243.02428571426,1049.1542857142856,2
C0191,Individual,Sarah,Turner,1977-05-06,F,USA,Florida,Home,3,No,Agency,49.0,8,2172926.7600000002,271615.84500000003,913.8512499999999,2
C0192,Individual,Margaret,Moore,1984-02-04,F,Belgium,Brussels,Investment,2,Yes,Website,42.0,7,2900509.0999999996,414358.4428571428,1304.7214285714288,2
C0193,Individual,Sharon,Campbell,1968-08-09,F,USA,California,Investment,4,Yes,Website,58.0,7,1933778.2399999998,276254.03428571427,962.7214285714286,1
C0194,Individual,Jonathan,Hall,,M,France,Ile-de-France,Home,5,Yes,Website,,7,2759372.27,394196.03857142857,1237.292857142857,2
C0195,Individual,Sean,Jones,,M,USA,California,Home,2,Yes,Website,,7,2102233.85,300319.12142857147,1029.2714285714285,2
C0196,Individual,Alexander,Adams,,M,USA,Nevada,Investment,5,No,Agency,,6,2611736.44,435289.4066666667,1411.9466666666667,2
C0197,Individual,Kevin,Wright,1944-07-01,M,USA,Virginia,Home,4,No,Client,82.0,8,2775768.6,346971.075,1082.87,2
C0198,Individual,Michelle,White,,F,USA,California,Home,4,No,Website,,8,2399689.67,299961.20875,997.5475,2
C0199,Individual,Ryan,Brown,,M,USA,California,Home,3,No,Agency,,7,2582959.87,368994.26714285713,1162.7385714285715,2
C0200,Individual,Linda,Harris,1944-05-06,F,USA,California,Home,1,No,Agency,82.0,4,1071359.3900000001,267839.84750000003,920.7075,0
C0201,Individual,Lauren,Weaver,,F,USA,California,Home,1,No,Agency,,4,1298787.54,324696.885,1147.435,0
C0202,Individual,Jack,Reyes,1996-11-11,M,Canada,British Columbia,Home,1,No,Website,30.0,3,1019272.5900000001,339757.53,1049.3799999999999,0
C0203,Individual,Christine,Brooks,,F,USA,California,Home,4,No,Client,,4,1242478.83,310619.7075,916.0375,0
C0204,Individual,Joyce,Pierce,1947-01-10,F,USA,California,Home,5,No,Agency,79.0,3,934432.98,311477.66,1042.7266666666667,0
C0205,Individual,Kelly,Nelson,,F,Mexico,Puebla,Home,1,Yes,Agency,,3,949224.48,316408.16,1072.7266666666667,0
C0206,Individual,Nancy,Roberts,1957-05-08,F,USA,California,Home,1,Yes,Agency,69.0,3,853060.9299999999,284353.6433333333,851.4266666666667,0
C0207,Individual,Kyle,Gray,,M,USA,Virginia,Investment,4,No,Website,,3,889948.76,296649.58666666667,1104.51,1
C0208,Individual,Mark,James,,M,France,Provence,Home,4,Yes,Agency,,4,1199654.38,299913.595,997.4100000000001,0
C0209,Individual,Kyle,Moore,,M,USA,Arizona,Investment,3,No,Agency,,4,979868.13,244967.0325,794.1275,1
C0210,Individual,Janice,Price,,F,USA,Colorado,Home,2,No,Website,,4,1346156.55,336539.1375,1135.53,0
C0211,Individual,Amy,Evans,,F,USA,California,Home,3,No,Agency,,4,1254240.07,313560.0175,1053.27,0
